Nº Sample,Temperatura,PWM%
1,0,17
2,0,17
3,0,17
4,0,17
5,0,17
6,40,17
7,40,16
8,40,16
9,40,17
10,40,17
11,40,17
12,40,17
13,40,17
14,40,17
15,40,17
16,40,17
17,40,17
18,40,18
19,40,18
20,40,18
21,40,18
22,40,18
23,40,19
24,40,19
25,40,19
26,40,19
27,40,20
28,40,21
29,40,21
30,40,22
31,40,22
32,40,23
33,40,23
34,40,24
35,40,25
36,40,25
37,40,26
38,40,27
39,40,27
40,40,28
41,40,29
42,40,30
43,40,31
44,40,32
45,40,32
46,40,33
47,40,34
48,40,35
49,40,36
50,40,37
51,40,37
52,40,38
53,40,39
54,40,41
55,40,42
56,40,42
57,40,43
58,40,44
59,40,45
60,40,46
61,40,47
62,40,49
63,40,49
64,40,51
65,40,52
66,40,53
67,40,54
68,40,55
69,40,57
70,40,58
71,40,59
72,40,60
73,40,61
74,40,63
75,40,64
76,40,65
77,40,67
78,40,68
79,40,69
80,40,70
81,40,71
82,40,73
83,40,74
84,40,75
85,40,77
86,40,78
87,40,79
88,40,81
89,40,82
90,40,83
91,40,85
92,40,86
93,40,87
94,40,88
95,40,89
96,40,91
97,40,92
98,40,93
99,40,95
100,40,96
101,40,98
102,40,99
103,40,100
104,40,101
105,40,102
106,40,104
107,40,105
108,40,105
109,40,107
110,40,108
111,40,109
112,40,110
113,40,112
114,40,113
115,40,115
116,40,117
117,40,118
118,40,119
119,40,120
120,40,121
121,40,123
122,40,124
123,40,126
124,40,127
125,40,128
126,40,129
127,40,130
128,40,131
129,40,133
130,40,134
131,40,135
132,40,137
133,40,138
134,40,139
135,40,141
136,40,142
137,40,143
138,40,145
139,40,145
140,40,147
141,40,148
142,40,149
143,40,150
144,40,150
145,40,152
146,40,153
147,40,154
148,40,155
149,40,156
150,40,157
151,40,157
152,40,159
153,40,160
154,40,160
155,40,161
156,40,162
157,40,163
158,40,164
159,40,165
160,40,166
161,40,167
162,40,168
163,40,168
164,40,170
165,40,170
166,40,171
167,40,172
168,40,173
169,40,175
170,40,175
171,40,176
172,40,177
173,40,178
174,40,178
175,40,179
176,40,181
177,40,181
178,40,181
179,40,182
180,40,183
181,40,184
182,40,184
183,40,185
184,40,186
185,40,186
186,40,187
187,40,188
188,40,188
189,40,189
190,40,190
191,40,191
192,40,191
193,40,192
194,40,193
195,40,193
196,40,193
197,40,194
198,40,195
199,40,195
200,40,196
201,40,197
202,40,198
203,40,199
204,40,199
205,40,199
206,40,199
207,40,200
208,40,200
209,40,201
210,40,202
211,40,203
212,40,203
213,40,203
214,40,205
215,40,205
216,40,205
217,40,206
218,40,206
219,40,206
220,40,207
221,40,207
222,40,208
223,40,209
224,40,209
225,40,209
226,40,210
227,40,211
228,40,211
229,40,212
230,40,213
231,40,213
232,40,213
233,40,213
234,40,213
235,40,214
236,40,215
237,40,216
238,40,216
239,40,216
240,40,217
241,40,217
242,40,217
243,40,218
244,40,219
245,40,220
246,40,219
247,40,220
248,40,220
249,40,220
250,40,221
251,40,221
252,40,222
253,40,222
254,40,223
255,40,222
256,40,223
257,40,223
258,40,223
259,40,224
260,40,225
261,40,225
262,40,225
263,40,225
264,40,227
265,40,227
266,40,227
267,40,228
268,40,229
269,40,229
270,40,229
271,40,229
272,40,230
273,40,231
274,40,231
275,40,231
276,40,231
277,40,232
278,40,233
279,40,233
280,40,233
281,40,233
282,40,234
283,40,233
284,40,233
285,40,234
286,40,234
287,40,235
288,40,235
289,40,236
290,40,236
291,40,236
292,40,237
293,40,237
294,40,237
295,40,237
296,40,237
297,40,238
298,40,238
299,40,238
300,40,239
301,40,239
302,40,240
303,40,240
304,40,241
305,40,241
306,40,241
307,40,241
308,40,242
309,40,241
310,40,242
311,40,243
312,40,243
313,40,244
314,40,245
315,40,245
316,40,245
317,40,245
318,40,245
319,40,246
320,40,245
321,40,245
322,40,246
323,40,246
324,40,247
325,40,248
326,40,248
327,40,249
328,40,249
329,40,248
330,40,249
331,40,249
332,40,250
333,40,250
334,40,250
335,40,249
336,40,250
337,40,250
338,40,250
339,40,250
340,40,251
341,40,251
342,40,252
343,40,252
344,40,252
345,40,253
346,40,253
347,40,254
348,40,254
349,40,255
350,40,255
351,40,255
352,40,255
353,40,256
354,40,256
355,40,256
356,40,256
357,40,256
358,40,256
359,40,256
360,40,257
361,40,258
362,40,258
363,40,258
364,40,259
365,40,260
366,40,258
367,40,259
368,40,259
369,40,258
370,40,259
371,40,260
372,40,260
373,40,260
374,40,261
375,40,262
376,40,262
377,40,261
378,40,262
379,40,263
380,40,263
381,40,263
382,40,262
383,40,263
384,40,263
385,40,263
386,40,263
387,40,263
388,40,264
389,40,265
390,40,264
391,40,265
392,40,265
393,40,265
394,40,266
395,40,266
396,40,266
397,40,268
398,40,268
399,40,267
400,40,267
401,40,267
402,40,267
403,40,268
404,40,268
405,40,269
406,40,269
407,40,269
408,40,269
409,40,271
410,40,271
411,40,271
412,40,271
413,40,271
414,40,271
415,40,271
416,40,270
417,40,271
418,40,272
419,40,272
420,40,272
421,40,273
422,40,272
423,40,273
424,40,273
425,40,274
426,40,274
427,40,275
428,40,275
429,40,275
430,40,275
431,40,275
432,40,275
433,40,275
434,40,276
435,40,276
436,40,276
437,40,277
438,40,277
439,40,277
440,40,277
441,40,278
442,40,278
443,40,279
444,40,280
445,40,280
446,40,280
447,40,280
448,40,281
449,40,281
450,40,281
451,40,281
452,40,281
453,40,282
454,40,282
455,40,281
456,40,281
457,40,282
458,40,281
459,40,282
460,40,282
461,40,282
462,40,282
