Nº Sample,Temperatura,PWM%
1,0,18
2,0,18
3,0,18
4,0,17
5,0,18
6,0,18
7,0,18
8,0,18
9,0,18
10,0,18
11,40,18
12,40,18
13,40,17
14,40,18
15,40,17
16,40,18
17,40,18
18,40,18
19,40,18
20,40,18
21,40,18
22,40,18
23,40,19
24,40,19
25,40,19
26,40,20
27,40,20
28,40,20
29,40,20
30,40,21
31,40,21
32,40,22
33,40,23
34,40,23
35,40,23
36,40,24
37,40,25
38,40,26
39,40,26
40,40,27
41,40,28
42,40,29
43,40,30
44,40,30
45,40,32
46,40,33
47,40,33
48,40,35
49,40,35
50,40,37
51,40,38
52,40,39
53,40,40
54,40,41
55,40,42
56,40,43
57,40,44
58,40,46
59,40,47
60,40,48
61,40,50
62,40,51
63,40,52
64,40,53
65,40,55
66,40,56
67,40,57
68,40,58
69,40,60
70,40,61
71,40,63
72,40,64
73,40,66
74,40,67
75,40,68
76,40,70
77,40,71
78,40,73
79,40,74
80,40,76
81,40,77
82,40,79
83,40,80
84,40,82
85,40,84
86,40,85
87,40,87
88,40,89
89,40,90
90,40,92
91,40,94
92,40,96
93,40,97
94,40,98
95,40,99
96,40,102
97,40,103
98,40,104
99,40,105
100,40,107
101,40,109
102,40,111
103,40,112
104,40,113
105,40,115
106,40,117
107,40,118
108,40,120
109,40,121
110,40,123
111,40,126
112,40,126
113,40,128
114,40,130
115,40,131
116,40,133
117,40,135
118,40,136
119,40,137
120,40,138
121,40,140
122,40,141
123,40,143
124,40,143
125,40,145
126,40,147
127,40,148
128,40,150
129,40,151
130,40,153
131,40,154
132,40,155
133,40,156
134,40,158
135,40,159
136,40,160
137,40,162
138,40,162
139,40,163
140,40,164
141,40,165
142,40,166
143,40,167
144,40,169
145,40,170
146,40,171
147,40,173
148,40,173
149,40,176
150,40,177
151,40,178
152,40,179
153,40,180
154,40,181
155,40,183
156,40,183
157,40,185
158,40,186
159,40,187
160,40,187
161,40,188
162,40,189
163,40,190
164,40,191
165,40,192
166,40,194
167,40,195
168,40,195
169,40,196
170,40,197
171,40,198
172,40,198
173,40,199
174,40,200
175,40,200
176,40,201
177,40,203
178,40,203
179,40,204
180,40,205
181,40,206
182,40,207
183,40,208
184,40,208
185,40,210
186,40,210
187,40,210
188,40,211
189,40,211
190,40,212
191,40,212
192,40,213
193,40,213
194,40,214
195,40,215
196,40,215
197,40,217
198,40,217
199,40,218
200,40,218
201,40,219
202,40,220
203,40,220
204,40,221
205,40,221
206,40,223
207,40,222
208,40,223
209,40,224
210,40,224
211,40,225
212,40,225
213,40,226
214,40,226
215,40,227
216,40,227
217,40,227
218,40,228
219,40,229
220,40,230
221,40,230
222,40,231
223,40,232
224,40,232
225,40,233
226,40,234
227,40,234
228,40,234
229,40,235
230,40,235
231,40,235
232,40,236
233,40,237
234,40,237
235,40,238
236,40,238
237,40,239
238,40,239
239,40,240
240,40,240
241,40,240
242,40,241
243,40,241
244,40,241
245,40,243
246,40,243
247,40,243
248,40,243
249,40,244
250,40,245
251,40,245
252,40,245
253,40,245
254,40,246
255,40,245
256,40,245
257,40,246
258,40,246
259,40,247
260,40,248
261,40,249
262,40,250
263,40,250
264,40,251
265,40,250
266,40,251
267,40,251
268,40,252
269,40,252
270,40,253
271,40,253
272,40,254
273,40,254
274,40,254
275,40,255
276,40,256
277,40,256
278,40,257
279,40,257
280,40,258
281,40,258
282,40,258
283,40,259
284,40,259
285,40,259
286,40,259
287,40,260
288,40,261
289,40,261
290,40,262
291,40,262
292,40,262
293,40,262
294,40,262
295,40,263
296,40,263
297,40,263
298,40,264
299,40,264
300,40,264
301,40,265
302,40,266
303,40,266
304,40,268
305,40,268
306,40,268
307,40,268
308,40,268
309,40,268
310,40,268
311,40,268
312,40,269
313,40,269
314,40,270
315,40,271
316,40,271
317,40,272
318,40,272
319,40,272
320,40,272
321,40,272
322,40,272
323,40,273
324,40,272
325,40,272
326,40,273
327,40,273
328,40,274
329,40,274
330,40,274
331,40,275
332,40,274
333,40,274
334,40,274
335,40,274
336,40,275
337,40,275
338,40,275
339,40,276
340,40,277
341,40,277
342,40,278
343,40,278
344,40,278
345,40,279
346,40,279
347,40,280
348,40,280
349,40,279
350,40,280
351,40,280
352,40,280
353,40,280
354,40,281
355,40,280
356,40,281
357,40,282
358,40,281
359,40,282
360,40,283
361,40,283
362,40,283
363,40,283
364,40,283
365,40,284
366,40,283
367,40,285
368,40,285
369,40,284
370,40,285
371,40,286
372,40,286
373,40,286
374,40,287
375,40,286
376,40,287
377,40,287
378,40,287
379,40,287
380,40,287
381,40,288
382,40,288
383,40,288
384,40,289
385,40,289
386,40,289
387,40,289
388,40,289
389,40,289
390,40,290
391,40,291
392,40,290
393,40,291
394,40,291
395,40,291
396,40,290
397,40,291
398,40,291
399,40,292
400,40,292
401,40,292
402,40,293
403,40,293
404,40,294
405,40,295
406,40,295
407,40,296
408,40,296
409,40,297
410,40,296
411,40,297
412,40,297
413,40,297
414,40,297
415,40,297
416,40,297
417,40,298
418,40,298
419,40,298
420,40,298
421,40,299
422,40,298
423,40,299
424,40,299
425,40,300
426,40,300
427,40,300
428,40,301
429,40,301
430,40,301
431,40,300
432,40,301
433,40,301
434,40,302
435,40,301
436,40,302
437,40,302
438,40,301
439,40,302
440,40,302
441,40,303
442,40,303
443,40,303
444,40,304
445,40,304
446,40,305
447,40,305
448,40,305
449,40,306
450,40,306
451,40,306
452,40,307
453,40,306
454,40,307
455,40,307
456,40,308
457,40,308
458,40,307
459,40,307
460,40,308
461,40,308
462,40,308
463,40,310
464,40,309
465,40,310
466,40,309
467,40,309
468,40,310
469,40,309
470,40,310
471,40,310
472,40,310
473,40,310
474,40,309
475,40,311
476,40,310
477,40,311
478,40,311
479,40,310
480,40,311
481,40,311
482,40,312
483,40,312
484,40,313
485,40,313
486,40,313
487,40,314
488,40,314
489,40,314
490,40,314
491,40,314
492,40,314
493,40,314
494,40,314
495,40,313
496,40,313
497,40,314
498,40,314
499,40,314
500,40,315
501,40,314
502,40,315
503,40,314
504,40,314
505,40,315
506,40,315
507,40,316
508,40,315
509,40,316
510,40,316
511,40,317
512,40,318
513,40,318
514,40,318
515,40,317
516,40,318
517,40,318
518,40,319
519,40,319
520,40,319
521,40,319
522,40,319
523,40,319
524,40,319
525,40,318
526,40,319
527,40,319
528,40,319
529,40,319
530,40,319
531,40,319
532,40,319
533,40,319
534,40,320
535,40,319
536,40,319
537,40,320
538,40,320
539,40,320
540,40,320
541,40,321
542,40,321
543,40,322
544,40,322
545,40,323
546,40,323
547,40,323
548,40,323
549,40,324
550,40,323
551,40,323
552,40,324
553,40,323
554,40,324
555,40,323
556,40,323
557,40,323
558,40,323
559,40,324
560,40,324
561,40,325
562,40,325
563,40,325
564,40,325
565,40,326
566,40,326
567,40,326
568,40,326
569,40,326
570,40,327
571,40,327
572,40,326
573,40,326
574,40,326
575,40,326
576,40,327
577,40,327
578,40,328
579,40,328
580,40,328
581,40,328
582,40,328
583,40,328
584,40,327
585,40,328
