Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_8x6.9,1,220uF/10V,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C6, C7, C9",0603,17,100nF,
"C2, C5",0603,2,100nF/25V,
"C24, C25",1206,2,10nF/400V,
"C3, C4",0603,2,10uF/25V,
C8,CP_EIA-3216-10_Kemet-I,1,100uF/10V,
D1,DIODE_BAS85_115-M,1,BAS85-115,
D10,Diode_Bridge_Diotec_ABS,1,ABS8,
"D12, D13",TO-220-3_Vertical,2,BTB10-800CWRG,
"D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,
"H1, H3",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole,
"H2, H4",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole_Pad,
"HS1, HS2",Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm,2,Heatsink_Pad,
J1,TerminalBlock_bornier-2_P5.08mm,1,IN-AC,
J2,PinHeader_1x06_P2.54mm_Vertical,1,ISCP,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,PANTALLA NEXTION,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,SERVO,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SONDA 1,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SONDA 2,
J8,TerminalBlock_bornier-2_P5.08mm,1,VENTILADOR,
J9,TerminalBlock_bornier-2_P5.08mm,1,RESISTENCIA,
LD1,0805,1,5V,
LD2,0805,1,3V3,
LD3,0805,1,CPU,
LS1,Buzzer_12x9.5RM6.5,1,PKMCS0909E4000-R1,
PS1,Converter_ACDC_HiLink_HLK-10Mxx,1,HLK-10M05,
Q1,SOT-23,1,BC847,
"R1, R2, R4, R5",0603,4,1K,
"R10, R11, R12, R13, R21, R6, R7, R8, R9",0603,9,10K,
"R14, R17",0603,2,100k,
"R15, R16, R18, R19",0603,4,0 *,
"R20, R24",2512,2,120K,
"R22, R23",0603,2,220,
"R25, R26",2512,2,1K,
"R27, R28",2512,2,39 *,
R29,0603,1,470,
R3,0603,1,0,
SW1,SW_SPST_CK_RS282G05A3,1,RESET,
SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,HEATER,
TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,FAN,
TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,ZC,
"TP4, TP6",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,2,GND,
TP5,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,CPU,
U1,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U2,ILI9341,1,ILI9341,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX6675,
U6,DIP-6_W7.62mm,1,4N25,
"U7, U8",DIP-6_W7.62mm,2,MOC3021M,
